"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/05/01","北海道","苫前郡羽幌町",6796,1598,23.5,"2020/01/01","2021/05/01",14842
"2021/05/01","北海道","苫前郡初山別村",1152,309,26.8,"2020/01/01","2021/05/01",14851
"2021/05/01","北海道","天塩郡遠別町",2626,497,18.9,"2020/01/01","2021/05/01",14869
"2021/05/01","北海道","天塩郡天塩町",3006,911,30.3,"2020/01/01","2021/05/01",14877
"2021/05/01","北海道","宗谷郡猿払村",2766,1023,37.0,"2020/01/01","2021/05/01",15113
"2021/05/01","北海道","枝幸郡浜頓別町",3535,844,23.9,"2020/01/01","2021/05/01",15121
"2021/05/01","北海道","枝幸郡中頓別町",1679,325,19.4,"2020/01/01","2021/05/01",15130
"2021/05/01","北海道","枝幸郡枝幸町",8027,2193,27.3,"2020/01/01","2021/05/01",15148
"2021/05/01","北海道","天塩郡豊富町",3891,1039,26.7,"2020/01/01","2021/05/01",15164
"2021/05/01","北海道","礼文郡礼文町",2477,527,21.3,"2020/01/01","2021/05/01",15172
"2021/05/01","北海道","利尻郡利尻町",2001,482,24.1,"2020/01/01","2021/05/01",15181
"2021/05/01","北海道","利尻郡利尻富士町",2432,664,27.3,"2020/01/01","2021/05/01",15199
"2021/05/01","北海道","天塩郡幌延町",2294,631,27.5,"2020/01/01","2021/05/01",15202
"2021/05/01","北海道","網走郡美幌町",19233,4340,22.6,"2020/01/01","2021/05/01",15431
"2021/05/01","北海道","網走郡津別町",4597,725,15.8,"2020/01/01","2021/05/01",15440
"2021/05/01","北海道","斜里郡斜里町",11530,3208,27.8,"2020/01/01","2021/05/01",15458
"2021/05/01","北海道","斜里郡清里町",4005,764,19.1,"2020/01/01","2021/05/01",15466
"2021/05/01","北海道","斜里郡小清水町",4800,1088,22.7,"2020/01/01","2021/05/01",15474
"2021/05/01","北海道","常呂郡訓子府町",4889,942,19.3,"2020/01/01","2021/05/01",15491
"2021/05/01","北海道","常呂郡置戸町",2837,660,23.3,"2020/01/01","2021/05/01",15504
"2021/05/01","北海道","常呂郡佐呂間町",5111,888,17.4,"2020/01/01","2021/05/01",15521
"2021/05/01","北海道","紋別郡遠軽町",19677,3933,20.0,"2020/01/01","2021/05/01",15555
"2021/05/01","北海道","紋別郡湧別町",8664,1441,16.6,"2020/01/01","2021/05/01",15598
"2021/05/01","北海道","紋別郡滝上町",2544,529,20.8,"2020/01/01","2021/05/01",15601
"2021/05/01","北海道","紋別郡興部町",3778,819,21.7,"2020/01/01","2021/05/01",15610
"2021/05/01","北海道","紋別郡西興部村",1067,158,14.8,"2020/01/01","2021/05/01",15628
"2021/05/01","北海道","紋別郡雄武町",4389,1127,25.7,"2020/01/01","2021/05/01",15636
"2021/05/01","北海道","網走郡大空町",7130,1210,17.0,"2020/01/01","2021/05/01",15644
"2021/05/01","北海道","虻田郡豊浦町",3923,695,17.7,"2020/01/01","2021/05/01",15717
"2021/05/01","北海道","有珠郡壮瞥町",2517,811,32.2,"2020/01/01","2021/05/01",15750
"2021/05/01","北海道","白老郡白老町",16638,3842,23.1,"2020/01/01","2021/05/01",15784
"2021/05/01","北海道","勇払郡厚真町",4500,1215,27.0,"2020/01/01","2021/05/01",15814
"2021/05/01","北海道","虻田郡洞爺湖町",8689,1868,21.5,"2020/01/01","2021/05/01",15849
"2021/05/01","北海道","勇払郡安平町",7761,2033,26.2,"2020/01/01","2021/05/01",15857
"2021/05/01","北海道","勇払郡むかわ町",7870,2178,27.7,"2020/01/01","2021/05/01",15865
"2021/05/01","北海道","沙流郡日高町",11919,2301,19.3,"2020/01/01","2021/05/01",16012
"2021/05/01","北海道","沙流郡平取町",4923,1022,20.8,"2020/01/01","2021/05/01",16021
"2021/05/01","北海道","新冠郡新冠町",5483,953,17.4,"2020/01/01","2021/05/01",16047
"2021/05/01","北海道","浦河郡浦河町",12166,2205,18.1,"2020/01/01","2021/05/01",16071
"2021/05/01","北海道","様似郡様似町",4230,720,17.0,"2020/01/01","2021/05/01",16080
"2021/05/01","北海道","幌泉郡えりも町",4623,767,16.6,"2020/01/01","2021/05/01",16098
"2021/05/01","北海道","日高郡新ひだか町",22242,5574,25.1,"2020/01/01","2021/05/01",16101
"2021/05/01","北海道","河東郡音更町",44342,9834,22.2,"2020/01/01","2021/05/01",16314
"2021/05/01","北海道","河東郡士幌町",6044,1202,19.9,"2020/01/01","2021/05/01",16322
"2021/05/01","北海道","河東郡上士幌町",4957,907,18.3,"2020/01/01","2021/05/01",16331
"2021/05/01","北海道","河東郡鹿追町",5331,1420,26.6,"2020/01/01","2021/05/01",16349
"2021/05/01","北海道","上川郡新得町",6099,1036,17.0,"2020/01/01","2021/05/01",16357
"2021/05/01","北海道","上川郡清水町",9370,1458,15.6,"2020/01/01","2021/05/01",16365
"2021/05/01","北海道","河西郡芽室町",18468,3599,19.5,"2020/01/01","2021/05/01",16373
"2021/05/01","北海道","河西郡中札内村",3917,905,23.1,"2020/01/01","2021/05/01",16381
"2021/05/01","北海道","河西郡更別村",3157,721,22.8,"2020/01/01","2021/05/01",16390
"2021/05/01","北海道","広尾郡大樹町",5526,1113,20.1,"2020/01/01","2021/05/01",16411
"2021/05/01","北海道","広尾郡広尾町",6669,1399,21.0,"2020/01/01","2021/05/01",16420
"2021/05/01","北海道","中川郡幕別町",26636,5442,20.4,"2020/01/01","2021/05/01",16438
"2021/05/01","北海道","中川郡池田町",6619,1539,23.3,"2020/01/01","2021/05/01",16446
"2021/05/01","北海道","中川郡豊頃町",3145,816,25.9,"2020/01/01","2021/05/01",16454
"2021/05/01","北海道","中川郡本別町",6899,1049,15.2,"2020/01/01","2021/05/01",16462
"2021/05/01","北海道","足寄郡足寄町",6787,1514,22.3,"2020/01/01","2021/05/01",16471
"2021/05/01","北海道","足寄郡陸別町",2362,422,17.9,"2020/01/01","2021/05/01",16489
"2021/05/01","北海道","十勝郡浦幌町",4615,925,20.0,"2020/01/01","2021/05/01",16497
"2021/05/01","北海道","釧路郡釧路町",19573,5820,29.7,"2020/01/01","2021/05/01",16616
"2021/05/01","北海道","厚岸郡厚岸町",9183,1783,19.4,"2020/01/01","2021/05/01",16624
"2021/05/01","北海道","厚岸郡浜中町",5748,1109,19.3,"2020/01/01","2021/05/01",16632
"2021/05/01","北海道","川上郡標茶町",7509,1478,19.7,"2020/01/01","2021/05/01",16641
