"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/07/01","北海道","雨竜郡幌加内町",1447,431,29.8,"2020/01/01","2021/07/01",14729
"2021/07/01","北海道","増毛郡増毛町",4222,1105,26.2,"2020/01/01","2021/07/01",14818
"2021/07/01","北海道","留萌郡小平町",3087,699,22.6,"2020/01/01","2021/07/01",14826
"2021/07/01","北海道","苫前郡苫前町",3034,880,29.0,"2020/01/01","2021/07/01",14834
"2021/07/01","北海道","苫前郡羽幌町",6796,1864,27.4,"2020/01/01","2021/07/01",14842
"2021/07/01","北海道","苫前郡初山別村",1152,362,31.4,"2020/01/01","2021/07/01",14851
"2021/07/01","北海道","天塩郡遠別町",2626,581,22.1,"2020/01/01","2021/07/01",14869
"2021/07/01","北海道","天塩郡天塩町",3006,1088,36.2,"2020/01/01","2021/07/01",14877
"2021/07/01","北海道","宗谷郡猿払村",2766,1123,40.6,"2020/01/01","2021/07/01",15113
"2021/07/01","北海道","枝幸郡浜頓別町",3535,967,27.4,"2020/01/01","2021/07/01",15121
"2021/07/01","北海道","枝幸郡中頓別町",1679,435,25.9,"2020/01/01","2021/07/01",15130
"2021/07/01","北海道","枝幸郡枝幸町",8027,2479,30.9,"2020/01/01","2021/07/01",15148
"2021/07/01","北海道","天塩郡豊富町",3891,1177,30.2,"2020/01/01","2021/07/01",15164
"2021/07/01","北海道","礼文郡礼文町",2477,590,23.8,"2020/01/01","2021/07/01",15172
"2021/07/01","北海道","利尻郡利尻町",2001,524,26.2,"2020/01/01","2021/07/01",15181
"2021/07/01","北海道","利尻郡利尻富士町",2432,720,29.6,"2020/01/01","2021/07/01",15199
"2021/07/01","北海道","天塩郡幌延町",2294,731,31.9,"2020/01/01","2021/07/01",15202
"2021/07/01","北海道","網走郡美幌町",19233,5024,26.1,"2020/01/01","2021/07/01",15431
"2021/07/01","北海道","網走郡津別町",4597,877,19.1,"2020/01/01","2021/07/01",15440
"2021/07/01","北海道","斜里郡斜里町",11530,3725,32.3,"2020/01/01","2021/07/01",15458
"2021/07/01","北海道","斜里郡清里町",4005,922,23.0,"2020/01/01","2021/07/01",15466
"2021/07/01","北海道","斜里郡小清水町",4800,1249,26.0,"2020/01/01","2021/07/01",15474
"2021/07/01","北海道","常呂郡訓子府町",4889,1192,24.4,"2020/01/01","2021/07/01",15491
"2021/07/01","北海道","常呂郡置戸町",2837,770,27.1,"2020/01/01","2021/07/01",15504
"2021/07/01","北海道","常呂郡佐呂間町",5111,1021,20.0,"2020/01/01","2021/07/01",15521
"2021/07/01","北海道","紋別郡遠軽町",19677,4605,23.4,"2020/01/01","2021/07/01",15555
"2021/07/01","北海道","紋別郡湧別町",8664,1753,20.2,"2020/01/01","2021/07/01",15598
"2021/07/01","北海道","紋別郡滝上町",2544,601,23.6,"2020/01/01","2021/07/01",15601
