"都道府県名","市区町村名","総数（人口）
【H30.1.1時点】","交付枚数
【H30.7.1時点】","交付率"
"青森県","東津軽郡外ヶ浜町",6295,609,9.7
"青森県","西津軽郡鰺ヶ沢町",10306,988,9.6
"青森県","西津軽郡深浦町",8463,681,8.0
"青森県","中津軽郡西目屋村",1356,119,8.8
"青森県","南津軽郡藤崎町",15172,921,6.1
"青森県","南津軽郡大鰐町",9824,856,8.7
"青森県","南津軽郡田舎館村",7976,540,6.8
"青森県","北津軽郡板柳町",13967,935,6.7
"青森県","北津軽郡鶴田町",13228,738,5.6
"青森県","北津軽郡中泊町",11406,726,6.4
"青森県","上北郡野辺地町",13562,1677,12.4
"青森県","上北郡七戸町",16044,1603,10.0
"青森県","上北郡六戸町",10998,1323,12.0
"青森県","上北郡横浜町",4648,675,14.5
"青森県","上北郡東北町",17932,1832,10.2
"青森県","上北郡六ヶ所村",10475,972,9.3
"青森県","上北郡おいらせ町",25300,2433,9.6
"青森県","下北郡大間町",5482,417,7.6
"青森県","下北郡東通村",6601,578,8.8
"青森県","下北郡風間浦村",1982,161,8.1
"青森県","下北郡佐井村",2102,253,12.0
"青森県","三戸郡三戸町",10333,1097,10.6
"青森県","三戸郡五戸町",17627,1633,9.3
"青森県","三戸郡田子町",5664,516,9.1
"青森県","三戸郡南部町",18599,1439,7.7
"青森県","三戸郡階上町",13719,1432,10.4
"青森県","三戸郡新郷村",2586,252,9.7
"岩手県","盛岡市",291859,35512,12.2
"岩手県","宮古市",54159,6943,12.8
"岩手県","大船渡市",37264,3579,9.6
"岩手県","花巻市",97027,9542,9.8
"岩手県","北上市",92911,7613,8.2
"岩手県","久慈市",35678,3082,8.6
"岩手県","遠野市",27772,2727,9.8
"岩手県","一関市",119273,12531,10.5
"岩手県","陸前高田市",19553,1693,8.7
"岩手県","釜石市",34656,3301,9.5
"岩手県","二戸市",27566,2313,8.4
"岩手県","八幡平市",26287,3107,11.8
"岩手県","奥州市",118852,11516,9.7
"岩手県","滝沢市",55152,6156,11.2
"岩手県","岩手郡雫石町",16959,1579,9.3
"岩手県","岩手郡葛巻町",6355,1092,17.2
"岩手県","岩手郡岩手町",13761,1239,9.0
"岩手県","紫波郡紫波町",33288,3749,11.3
"岩手県","紫波郡矢巾町",27372,2647,9.7
"岩手県","和賀郡西和賀町",5839,353,6.0
"岩手県","胆沢郡金ケ崎町",15751,1425,9.0
"岩手県","西磐井郡平泉町",7780,757,9.7
"岩手県","気仙郡住田町",5652,811,14.3
"岩手県","上閉伊郡大槌町",12055,1102,9.1
"岩手県","下閉伊郡山田町",15984,1577,9.9
"岩手県","下閉伊郡岩泉町",9613,919,9.6
"岩手県","下閉伊郡田野畑村",3533,273,7.7
"岩手県","下閉伊郡普代村",2776,243,8.8
"岩手県","九戸郡軽米町",9399,911,9.7
"岩手県","九戸郡野田村",4315,409,9.5
"岩手県","九戸郡九戸村",5927,435,7.3
"岩手県","九戸郡洋野町",17131,1685,9.8
"岩手県","二戸郡一戸町",12830,1003,7.8
"宮城県","仙台市",1060545,125927,11.9
"宮城県","石巻市",146162,13414,9.2
"宮城県","塩竈市",54873,6943,12.7
"宮城県","気仙沼市",64947,6637,10.2
"宮城県","白石市",34718,3607,10.4
"宮城県","名取市",78460,8038,10.2
"宮城県","角田市",29713,3454,11.6
"宮城県","多賀城市",62474,7635,12.2
"宮城県","岩沼市",44221,4496,10.2
"宮城県","登米市",81094,5886,7.3
"宮城県","栗原市",69382,6682,9.6
"宮城県","東松島市",40247,4933,12.3
