団体コード,都道府県名,郡名,市区町村名
43028,宮城県,刈田郡,七ヶ宿町
43214,宮城県,柴田郡,大河原町
43222,宮城県,柴田郡,村田町
43231,宮城県,柴田郡,柴田町
43249,宮城県,柴田郡,川崎町
43419,宮城県,伊具郡,丸森町
43613,宮城県,亘理郡,亘理町
43621,宮城県,亘理郡,山元町
44016,宮城県,宮城郡,松島町
44041,宮城県,宮城郡,七ヶ浜町
44067,宮城県,宮城郡,利府町
44211,宮城県,黒川郡,大和町
44229,宮城県,黒川郡,大郷町
44245,宮城県,黒川郡,大衡村
44440,宮城県,加美郡,色麻町
44458,宮城県,加美郡,加美町
45012,宮城県,遠田郡,涌谷町
45055,宮城県,遠田郡,美里町
45811,宮城県,牡鹿郡,女川町
46060,宮城県,本吉郡,南三陸町
52019,秋田県,,秋田市
52027,秋田県,,能代市
52035,秋田県,,横手市
52043,秋田県,,大館市
52060,秋田県,,男鹿市
52078,秋田県,,湯沢市
52094,秋田県,,鹿角市
52108,秋田県,,由利本荘市
52116,秋田県,,潟上市
52124,秋田県,,大仙市
52132,秋田県,,北秋田市
52141,秋田県,,にかほ市
52159,秋田県,,仙北市
53031,秋田県,鹿角郡,小坂町
53279,秋田県,北秋田郡,上小阿仁村
53465,秋田県,山本郡,藤里町
53481,秋田県,山本郡,三種町
53490,秋田県,山本郡,八峰町
53619,秋田県,南秋田郡,五城目町
53635,秋田県,南秋田郡,八郎潟町
53660,秋田県,南秋田郡,井川町
53686,秋田県,南秋田郡,大潟村
54348,秋田県,仙北郡,美郷町
54631,秋田県,雄勝郡,羽後町
54640,秋田県,雄勝郡,東成瀬村
62014,山形県,,山形市
62022,山形県,,米沢市
62031,山形県,,鶴岡市
62049,山形県,,酒田市
62057,山形県,,新庄市
62065,山形県,,寒河江市
62073,山形県,,上山市
62081,山形県,,村山市
62090,山形県,,長井市
62103,山形県,,天童市
62111,山形県,,東根市
62120,山形県,,尾花沢市
62138,山形県,,南陽市
63011,山形県,東村山郡,山辺町
63029,山形県,東村山郡,中山町
63215,山形県,西村山郡,河北町
63223,山形県,西村山郡,西川町
63231,山形県,西村山郡,朝日町
63240,山形県,西村山郡,大江町
63410,山形県,北村山郡,大石田町
63614,山形県,最上郡,金山町
63622,山形県,最上郡,最上町
63631,山形県,最上郡,舟形町
63649,山形県,最上郡,真室川町
63657,山形県,最上郡,大蔵村
63665,山形県,最上郡,鮭川村
63673,山形県,最上郡,戸沢村
63819,山形県,東置賜郡,高畠町
